area,bathroom_num,bedroom_num,locality,price
350.0,2.0,1,Malad,9000
652.0,2.0,1,Vasai,8060
635.0,2.0,1,Virar,8000
540.0,2.0,1,Vasai,8000
625.0,1.0,1,Naigaon,9000
630.0,2.0,1,Virar,8000
690.0,2.0,1,Virar,8500
338.0,1.0,1,Royal Palms Estate,10000
675.0,2.0,1,Virar,9000
500.0,1.0,1,Virar,8000
850.0,2.0,1,Virar,8000
650.0,1.0,1,Nalasopara,8500
630.0,2.0,1,Virar,8000
730.0,2.0,1,Virar,8000
570.0,2.0,1,Naigaon,8000
560.0,1.0,1,Others,10000
600.0,1.0,1,Vasai,10000
645.0,1.0,1,Vasai,8500
750.0,2.0,1,Virar,8000
485.0,1.0,1,Nalasopara,8500
570.0,1.0,1,Others,10000
640.0,2.0,1,Virar,10000
640.0,1.0,1,Kalyan,10000
500.0,1.0,1,Bhayandar,10000
650.0,1.0,1,Mira Bhayandar,10000
320.0,1.0,1,MHADA Colony,9000
400.0,1.0,1,Others,9500
650.0,2.0,1,Virar,8000
525.0,1.0,1,Vasai,10000
520.0,1.0,1,Bhayandar,8700
625.0,2.0,1,Virar,8000
675.0,2.0,1,Virar,9000
520.0,1.0,1,Beverly Park,10000
575.0,1.0,1,Kalyan,9500
560.0,1.0,1,Kalyan,8000
600.0,1.0,1,Nalasopara,10000
900.0,2.0,1,Nalasopara,8500
500.0,1.0,1,Others,8500
365.0,1.0,1,Bhayandar,9000
640.0,2.0,1,Vasai,10000
300.0,1.0,1,Others,9000
478.0,1.0,1,Vasai,9000
787.0,2.0,1,Others,10000
650.0,1.0,1,Kalyan,9500
700.0,1.0,1,Mira Road,10000
510.0,1.0,1,Naigaon,9000
750.0,1.0,1,Vasai,8000
500.0,1.0,1,Bhayandar,9000
500.0,1.0,1,Nalasopara,8000
480.0,1.0,1,Virar,8500
375.0,1.0,1,Bhayandar,10000
500.0,1.0,1,New Link Road,10000
550.0,1.0,1,Mira Road,10000
400.0,1.0,1,Bhayandar,8000
530.0,1.0,1,Others,9000
400.0,1.0,1,Bhayandar,9000
546.0,1.0,1,Virar,8000
450.0,1.0,1,Mira Road,8500
550.0,1.0,1,Bhayandar,9000
420.0,1.0,1,Bhayandar,9500
376.0,2.0,1,Virar,9000
400.0,1.0,1,Others,8000
600.0,2.0,1,Mira Road,9500
635.0,2.0,1,Vasai,10000
300.0,1.0,1,CAMA Industrial Estate,8000
390.0,1.0,1,Mira Road,9500
700.0,1.0,1,Malad,10000
570.0,1.0,1,Others,10000
510.0,1.0,1,Nalasopara,10000
621.0,1.0,1,Others,10000
